Player	Full Name	Date and Place of Birth	Current Age	Major Teams	Playing Role	Batting Style	Bowling Style	Highest ODI Score	ODI Debut	Profile Information	Picture of the Player	Country
KL Rahul	Kannaur Lokesh Rahul	April 18, 1992, Bangalore, Karnataka 	28 years 316 days	India, Bangalore Brigadiers (Urban), India Under-19s, India Under-23s, Karnataka, Karnataka State Cricket Association Colts XI, Kings XI Punjab, Royal Challengers Bangalore, South Zone, Sunrisers Hyderabad	Opening batsman	Right-hand bat		112	Zimbabwe v India at Harare, Jun 11, 2016	"A tall, elegant right-hand batsman who can keep wicket in a crisis, KL Rahul is among the most highly rated opening batsmen in India's next generation. Rahul was a part of India's squad in the 2010 Under-19 World Cup and made his first-class debut later that year. Having taken a while to establish himself as a first-class cricketer, he enjoyed a breakthrough 2013-14 season, laying the foundation for Karnataka's Ranji Trophy victory with 1033 runs, which included three centuries, three nineties, and a Man-of-the-Match performance in the final. Rahul attracted plenty of attention at the subsequent IPL auction, and finally went to Sunrisers Hyderabad for Rs. 1 crore (US$ 166,000 approx.). He was a regular member of their side in the 2014 season, mostly as wicketkeeper-batsman, but his contributions with the bat were steady rather than spectacular. In the long format, however, his technique and application have impressed some of Indian cricket's most respected names. These include Rahul Dravid, with whom Rahul shares not just a name but also a strong rapport, regularly seeking him out for technical and mental advice. Rahul had a middling tour of Australia with the India A team in July-August 2014, getting starts each time he batted in the unofficial Tests but only managing a top score of 52. But his appetite for runs was back to normal by the time the 2014-15 domestic season began, and twin centuries in the Duleep Trophy final earned him a place in India's Test squad on their tour of Australia. 
 A profitable IPL in 2016 set him up to make the Indian ODI and T20 squad that toured Zimbabwe in June, where he became the first batsman from his country to score a century on debut in 50-over cricket.Karthik Krishnaswamy"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1223372.html"",""KL Rahul"")"	India
David Miller	David Andrew Miller	June 10, 1989, Pietermaritzburg, Natal 	31 years 263 days	South Africa, Bengal Tigers, Dolphins, Durban Heat, Durham, Eagles (UAE), Glamorgan, Hobart Hurricanes, ICC World XI, Jamaica Tallawahs, Kings XI Punjab, KwaZulu-Natal, KwaZulu-Natal Inland Under-19s, Peshawar Zalmi, Rajasthan Royals, South Africa A, South Africa Academy, South African Schools, St Lucia Zouks, Uthura Rudras, Winnipeg Hawks, World-XI, Yorkshire	Middle-order batsman	Left-hand bat	Right-arm offbreak	139	West Indies v South Africa at North Sound, May 20, 2010	"A hard-hitting left-hander with a penchant for clearing the boundary, David Miller made famous the phrase: ""If it's in the arc, it's out the park."" Miller is a self-styled finisher, who is strong off the front and back foot and eager to swing the arms, as well as a gun fielder.  
 He was schooled at the esteemed Martizburg College and made his first-class debut at 18. Two years later, he was part of a South African A side that took on Bangladesh A and finished as the second highest run-scorer, which earned him a senior call-up. He travelled with South Africa to the West Indies in 2010. He did not do enough to travel to the 2011 World Cup or the 2012 World T20. It was only in 2013 that became a regular at international level, where he was most often deployed as a finisher.
 It took till 2015 for Miller's first ODI century: 130 against West Indies in January, followed swiftly by an unbeaten 138 two matches later which sent him to the World Cup in good form. Miller spent even longer waiting for a milestone in T20I cricket. His first fifty in the format came in March 2016. Both speak more to lack of opportunity in limited-overs cricket, rather than lack of ability. 
 At the IPL, Miller was one of the mainstays of the Kings XI Punjab. So much so that, in 2016, he was appointed the franchise's captain despite his limited experience in the role in South Africa. He led Kwa-Zulu Natal in the Africa Cup T20.  
 Miller's international commitments have left little time for first-class cricket, where his average sits in the mid-30s but his ambitions to play Test cricket remain high.Firdose Moonda"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1100153.html?alt=1"",""David Miller"")"	South Africa
Imad Wasim	Syed Imad Wasim	December 18, 1988, Swansea, Glamorgan, Wales 	32 years 72 days	Pakistan, Abu Dhabi United, Barbados Tridents, Barisal Bulls, Chattogram Challengers, Comilla Victorians, FATA Region, Federal Areas Leopards, Islamabad, Islamabad Leopards, Islamabad Region, Jamaica Tallawahs, Karachi Kings, Maratha Arabians, Melbourne Renegades, Nottinghamshire, Pakistan Cricket Academy, Pakistan Under-19s, Punjab Badshahs, Sind	Allrounder	Left-hand bat	Slow left-arm orthodox	63*	Pakistan v Zimbabwe at Lahore, May 24, 2015	"Imad Wasim had been set to study medicine but the offer to play for the Pakistan Under-19 made him change his mind and since then there has been no looking back. Like many aspiring players from his country, he wanted to emulate Wasim Akram but he didn't have the pace his coaches were looking for. Still, the switch to left-arm spin has worked for him. A capable middle-order batsman as well, he was part of the Pakistan side that won the Youth World Cup in 2006, before captaining them in the next edition.  
 It wasn't until 2015, when the senior team were searching for a replacement for the suspended Saeed Ajmal, that Imad got his shot at international cricket. He spent the intervening period playing league cricket in England and Ireland, which he said was instrumental to his development. Adding to his connection to the UK, Imad was born in Swansea. 
 Also a factor in his rise up the ranks was his first-class experience - he struck a half-century for Islamabad on debut in 2007, took an eight-for in 2013 and clattered a maiden double-hundred in 2014. Imad made his T20I debut when cricket returned to Pakistan six years after the Lahore attack in 2009, and represented his country in the World T20 that followed in 2016. ESPNcricinfo staff"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1221231.html"",""Imad Wasim"")"	Pakistan
Kasun Rajitha	Chandrasekara Arachchilage Kasun Rajitha	June 1, 1993, Matara 	27 years 272 days	Sri Lanka, Badureliya Sports Club, Dambulla Viiking, Sri Lanka Board President's XI, Sri Lanka Under-19s	Bowler	Right-hand bat	Right-arm medium-fast	0*	Sri Lanka v South Africa at Dambulla, Aug 1, 2018	Virtually unheard of before 2015, the first inkling of right-arm seamer Kasun Rajitha's potential came during a three-dayer against the touring Indians in August of that year. He took 5 for 68 on a spicy Khettarama deck in that match, dismissing Shikhar Dhawan, Virat Kohli and Rohit Sharma in a single spell, before claiming Kohli's wicket in the second innings as well. Achieving appreciable seam movement at a sharp pace, and from a high release point, Rajitha proved to be a penetrative T20 bowler in the following domestic season. He was the second-highest wicket-taker in the Super T20 Provincial Tournament, with 10 scalps in six matches. That performance earned him an international T20 debut, where he claimed two wickets in his first over, against India in Pune. 	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1222667.html"",""Kasun Rajitha"")"	Sri Lanka
Rashid Khan	Rashid Khan Arman	September 20, 1998, Nangarhar 	22 years 161 days	Afghanistan, ACB Development Squad, Adelaide Strikers, Afghanistan Under-19s, Afghanistan XI, Band-e-Amir Dragons, Band-e-Amir Region, Barbados Tridents, Boost Defenders, Boost Defenders, Comilla Victorians, Durban Heat, Guyana Amazon Warriors, ICC World XI, Kabul, Kabul Eagles, Lahore Qalandars, Maratha Arabians, Mis Ainak Region, Nangarhar Leopards, Quetta Gladiators, Speen Ghar Region, Sunrisers Hyderabad, Sussex, Sussex 2nd XI	Bowler	Right-hand bat	Legbreak googly	60*	Zimbabwe v Afghanistan at Bulawayo, Oct 18, 2015	"Less than a month after his 17th birthday, Rashid Khan made his ODI debut on Afghanistan's tour of Zimbabwe in October 2015. A year and a half later, while back on tour in Zimbabwe in February 2017, the precocious legspinner fetched the highest ever bid for an Associate player in the IPL Auction. He was snapped up by Sunrisers Hyderabad for INR 4 crores (US$ 597,000).  
 In the intervening time, Rashid quickly established himself as an automatic pick for Afghanistan. Not a big turner of the ball, he puts batsmen under constant pressure by bowling quickly through the air, akin to his bowling idol Shahid Afridi, while maintaining a stump-to-stump line. His biggest weapon is a very accurate googly, and should it result in a wicket, don't be surprised if he borrows Afridi's signature ""Star man"" celebration. 
 Rashid is also an athletic fielder, often placed in the covers, a region of high traffic in one-day cricket. With bat in hand, he is more than capable of clearing the boundary late in an innings and has air-brushed many a middling total into a match-winning one for his team. 
 Domestically, Rashid has been a productive force for the Kabul Eagles franchise. He parlayed his success from a superb first season with Sunrisers into franchise deals with Guyana Amazon Warriors - with whom he claimed the CPL's first ever hat-trick in 2017 - and Adelaide Strikers in the Big Bash. He continued scaling new heights for Afghanistan as well, taking 5 for 3 in a T20I against Ireland to keep a record 11-match T20I winning streak alive and later in 2017 helped spin his country to victory over West Indies in their maiden ODI in the Caribbean with figures of 7 for 18, the fourth-best haul for anyone in ODI cricket. It all added up to Rashid being honoured as the 2017 ICC Associate Cricketer of the Year. 
 In January 2018, Rashid's status as a global superstar was cemented when he became Afghanistan's first IPL millionaire after Sunrisers reclaimed him at auction for INR 9 crores (US$ 1.4 million). Rashid's charisma has turned him into a crowd favourite at every stop. After showcasing his dominance in franchise leagues and against Associate competition, Afghanistan's promotion to Full Membership and entry into Test cricket is an opportunity for Rashid to demonstrate his ability to be a transcendent figure across all formats.
 
 
 Peter Della Penna"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1184480.html?alt=1"",""Rashid Khan"")"	Afghanistan
Jasprit Bumrah	Jasprit Jasbirsingh Bumrah	December 6, 1993, Ahmedabad 	27 years 84 days	India, Gujarat, India A, India Green, India Under-23s, Mumbai Indians, West Region	Bowler	Right-hand bat	Right-arm fast	10*	Australia v India at Sydney, Jan 23, 2016	"Jasprit Bumrah grabbed eyeballs first with his unorthodox action, and then his bowling skills. Armed with an anomalous, sling-arm action and natural pace, the peculiar release point of Bumrah's deliveries makes it hard for batsmen to pick him.  
 Besides, like his Mumbai Indians team-mate, Lasith Malinga, Bumrah carved himself a reputation for possessing an uncanny ability to hit the blockhole. And, it was during his time in the IPL that he learned from the Sri Lankan to judiciously use the yorker.  
 A regular member of the India A team, Bumrah was on the fringes of national selection before a debilitating left knee injury at the end of 2014 kept him out for four-and-a-half months. He had to wait more than a year before earning another call-up, one which came on the back of a fruitful 2015-16 domestic season, where he was Gujarat's second-highest wicket-taker in the Ranji Trophy and topped the bowling charts in the Vijay Hazare Trophy - that included a five-for in the List-A final that gave Gujarat their maiden one-day title. 
 Those performances, and an untimely injury to Mohammed Shami, meant Bumrah took the flight to Australia, where he played a central role for India, finishing as the highest wicket-taker from either side as the visitors swept the T20Is 3-0. It was a showing that earned him the praise of MS Dhoni - who called him the find of the tour - as well as a place in India's squad for the 2016 World T20.ESPNcricinfo staff "	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1220572.html"",""Jasprit Bumrah"")"	India
Aftab Alam	Aftab Alam	November 30, 1992, Nangarhar, Afghanistan 	28 years 90 days	Afghanistan, Afghanistan Under-19s, Dambulla Viiking, Speen Ghar Region	Bowler	Right-hand bat	Right-arm medium-fast	16*	Afghanistan v Ireland at Dubai (DSC), Mar 24, 2012	"A bustling, energetic seam bowler, Aftab Alam isn't blessed with great height but puts a good deal of effort into his front-on action. Aftab is one of the success stories of cricket development in Afghanistan, having made his way through age group teams from under-15 level all the way to the under-19 squad for the 2010 Youth World Cup in New Zealand. He was his team's leading wicket-taker at the tournament, with 12 scalps, and made his ODI debut against Canada shortly after the tournament. 
 He continued with the Under-19 team for a further two years, with occasionally astonishing results such as his spell of 8 for 12 against Oman in the 2011 ACC U19 Elite Cup. He went to his second Youth World Cup in 2012, and also began to play more often for the senior national side. He was with the national side at the World T20 in 2014, and was also part of the team that held Zimbabwe to a 2-2 draw in their ODI series that same year.Liam Brickhill"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/745105.html?alt=1"",""Aftab Alam"")"	Afghanistan
Ashley Nurse	Ashley Renaldo Nurse	December 22, 1988, Gibbons, Christ Church, Barbados 	32 years 68 days	West Indies, Barbados, Barbados Tridents, Combined Campuses and Colleges, Montreal Tigers, Sagicor High Performance Centre, Trinbago Knight Riders, West Indies A, West Indies Cricket Board President's XI	Bowler	Right-hand bat	Right-arm offbreak	44	West Indies v Pakistan at Gros Islet, Apr 21, 2011		"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/990337.html"",""Ashley Nurse"")"	West Indies
Mohammad Mithun	Mohammad Mithun	March 2, 1991 	29 years 363 days	Bangladesh, Bangladesh A, Bangladesh Cricket Board Academy, Bangladesh Under-19s, Bangladesh Under-23s, Gazi Group Chattogram, Kalabagan Krira Chakra, Khulna Division, Khulna Royal Bengals, South Zone (Bangladesh), Sylhet Division, Sylhet Thunder	Top-order batsman	Right-hand bat		63	Bangladesh v India at Dhaka, Jun 17, 2014	"Mohammad Mithun had been a much-talked-about prodigy even before he had passed out of BKSP, the country's biggest sports institute. He started off as a wicketkeeper in age-group cricket, and has continued in the role, although his batting has always been his stronger suit.  
 He is a batsman who prefers to play the long innings, though he has also been known to take the aerial route as he has often batted in the top-order in limited-overs cricket.
 Mithun made his first-class debut in 2006 for Khulna Division, although he remained a regular in the Bangladesh under-19 side. He played in the 2008 U-19 World Cup in Malaysia, after which he took three years to get into the next level, playing for Bangladesh A in their 2011 tour to the West Indies. He had averaged 50.81 in first-class cricket during that season, including three centuries. His next good season was 2013-14, which was also his most productive, as he scored 706 runs in nine matches.
 It prompted a sudden call-up to the Bangladesh T20 side when regular wicketkeeper and captain Mushfiqur Rahim suffered a finger injury in early 2014. He was then called up to the ODI squad for the three-match series against India in June.Mohammad Isam"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1221576.html"",""Mohammad Mithun"")"	Bangladesh
Wahab Riaz	Wahab Riaz	June 28, 1985, Lahore, Punjab 	35 years 245 days	Pakistan, Barbados Tridents, Brampton Wolves, Cape Town Blitz, Central Punjab (Pakistan), City Nazim XI, Comilla Victorians, Derbyshire, Dhaka Dynamites, Dhaka Platoon, Essex, Essex 2nd XI, Hyderabad (Pakistan), Hyderabad Hawks, Hyderabad Region, Imtiaz Ahmed's XI, Kandahar Knights, Kandy Tuskers, Karachi Kings, Karachi Port Trust, Kent, Kowloon Cantons, Lahore, Lahore Eagles, Lahore Lions, Lahore Ravi, Lahore Region Whites, Lahore Shalimar, National Bank of Pakistan, North West Frontier Province-Baluchistan, Northern Warriors, Pakistan A, Pakistan All Star XI, Pakistan Blues, Pakistan Chief Ministers XI, Pakistan Cricket Academy, Pakistan Cricket Board Patron's XI, Pakistan Greens, Pakistan Under-17s, Pakistan Under-19s, Peshawar Zalmi, Punjab (Pakistan), Punjab Badshahs, Rangpur Riders, Surrey, Water and Power Development Authority	Bowler	Right-hand bat	Left-arm fast	54*	Pakistan v Zimbabwe at Sheikhupura, Feb 2, 2008	"Wahab Riaz, a left-arm fast bowler, has the pace to trouble the best, but hasn't always combined it with consistency. He has benefited from Pakistan's chronic poor luck with fast bowlers: with Shoaib Akhtar and Mohammad Asif missing more than they play and Umar Gul injury-prone, Riaz came into national reckoning earlier than he might have reasonably expected. Since then he has had some good moments in international cricket, but consistency hasn't been his strongest suit. 
 On his Test debut, against England at The Oval in 2010, Riaz took 5 for 63, becoming the ninth Pakistan bowler to take five on debut. Among his victims were Andrew Strauss, Jonathan Trott and Kevin Pietersen. However, he had poor tours of New Zealand and West Indies in 2011, and was dropped from the Test side.
 As an ODI bowler he has been a wicket-taker but has also leaked plenty of runs. His ODI best came in a big game, when he took 5 for 46 against India in the World Cup semi-final in Mohali - among his wickets were Virender Sehwag, Virat Kohli, Yuvraj Singh and MS Dhoni - but it wasn't enough to prevent defeat. Since then he has been in the mix in Pakistan's ODI side, even though his economy rate continues to be a concern.ESPNcricinfo staff"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1221182.html"",""Wahab Riaz"")"	Pakistan
Martin Guptill	Martin James Guptill	September 30, 1986, Auckland 	34 years 151 days	New Zealand, Auckland, Barbados Tridents, Derbyshire, Guyana Amazon Warriors, Kings XI Punjab, Mumbai Indians, New Zealand Academy, New Zealand Under-19s, St Kitts and Nevis Patriots, Sunrisers Hyderabad	Opening batsman	Right-hand bat	Right-arm offbreak	237*	New Zealand v West Indies at Auckland, Jan 10, 2009	"Few players in world cricket play the short-arm pull on one leg with elegance like Martin Guptill. A right-handed opening batsman, Guptill has consistently been among the runs in ODIs notably making a double-century in the quarter-final of the 2015 World Cup, but has struggled to make a mark in Tests. 
 One of the reasons he hasn't had success in the longest format is his preference to play with hard hands and drive on the up. With the red ball's tendency to move more than the white one, and pitches for multi-day cricket being more responsive to swing and seam, Guptill has not been the force he could have been in Tests and has not played a Test match since 2016. Fairly odd for a man who plays some of the most pristine straight-bat shots. 
 Guptill showed he had it in him to dominate all formats, winning the Richard Hadlee Medal in 2011-12 along with being named ODI and T20 player of the year at the New Zealand Cricket awards. He claimed the latter two back in 2015-16 thanks in no small part to the 237 not out he made against West Indies in Wellington during the 2015 World Cup, the second-highest ODI score of all time. He was also the tournament's leading scorer with 547 runs, just ahead of two all-time greats in Kumar Sangakkara and AB de Villiers. 
 In 2018, he become New Zealand's fourth player to reach 6000 ODI runs and entered the 2019 World Cup in red-hot form but failed to have the impact he did in 2015.  Despite his struggles, New Zealand entrusted him with batting in the Super Over in the thrilling final against England. The only ball he faced was the last, with two runs to win, he was run out agonisingly short of the winning second run that would have handed New Zealand the World Cup. 
 The first time Guptill gained recognition was in 2007-08, topping the overall State Shield run-charts. His efforts took Auckland to the final, and he carried his purple patch into the Emerging Players tournament in Australia, finishing as New Zealand's highest scorer. That earned him a call-up to the A side and then to the ODI and Test squads. 
 His growth as a player on the world stage was highlighted by the contracts given to him by Derbyshire and Lancashire in the English county, Sydney Thunder in the Australian Big Bash League, Mumbai Indians, Kings XI Punjab and Sunrisers Hyderabad in the IPL, St Kitts and Nevis Patriots and Guyana Amazon Warriors, who made him captain for the 2016 edition of the Caribbean Premier League.ESPNcricinfostaff"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1222454.html"",""Martin Guptill"")"	New Zealand
Mohammad Hasnain	Mohammad Hasnain	April 5, 2000, Hyderabad 	20 years 329 days	Pakistan, Bravo XI, Pakistan Emerging Team, Pakistan Television, Pakistan Under-19s, Quetta Gladiators, Sindh, Trinbago Knight Riders	Bowler	Right-hand bat	Right-arm fast	28	England v Pakistan at Cardiff, May 5, 2019		"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1221237.html"",""Mohammad Hasnain"")"	Pakistan
Aiden Markram	Aiden Kyle Markram	October 4, 1994, Centurion 	26 years 147 days	South Africa, Northerns, Northerns Under-19s, South Africa A, South Africa Under-19s, Titans	Opening batsman	Right-hand bat	Right-arm offbreak	67*	South Africa v Bangladesh at East London, Oct 22, 2017	"The first South African captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. Despite that success, Markram had to bide his time before earning a professional contract. He returned home to play for the University of Pretoria and Northerns, and in the 2016-17 season was part of the Titans squad.  
 A batsman of class and composure, strong on the offside and aggressive in nature, Markram was seen as someone who could change a sometimes conservative South African approach to batting.
 Under Mark Boucher's guidance, Markram excelled and averaged over 50 in both the first-class and fifty-over competitions. He was named in South Africa's A side to tour the UK in June 2016, and as their captain in the longer formats. Though the team struggled, Markram scored a century against Hampshire and 71 against the Lions, which was enough to see him included in South Africa's Test squad to face England in July-August 2017.Firdose Moonda "	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1249462.html"",""Aiden Markram"")"	South Africa
Kusal Mendis	Balapuwaduge Kusal Gimhan Mendis	February 2, 1995, Moratuwa 	26 years 26 days	Sri Lanka, Bloomfield Cricket and Athletic Club, Kandy Tuskers, Sri Lanka A, Sri Lanka A Emerging Players, Sri Lanka Under-19s, Sri Lanka Under-23s	Wicketkeeper batsman	Right-hand bat	Legbreak	119	Ireland v Sri Lanka at Dublin (Malahide), Jun 16, 2016	"Blessed with a compact technique, an aggressive impulse, and an iron resolve, Kusal Mendis rose rapidly through the age-group system, and quickly became one of the most promising young batsmen in the world. He had played only 16 first-class innings before he made his Test debut at the age of 20, and had hit only one first-class hundred before he made a maiden Test ton. That hundred - the 176 against Australia at Pallekele - was a match-flipping, series-defining knock, which given the fact no other batsman mustered more than 55 in the game, is one of the greatest ever Sri Lankan innings. Since then, Mendis has put together some impressive ODI innings as well, and has embedded himself in the Test top four.  
 A highly-rated graduate of Sri Lanka's school cricket system, Mendis' batting had earned him a large following long before he was on the national selectors' radar. As wicketkeeper and flowing right-hand batsman, Mendis won the Schoolboy Cricketer of the Year award in 2013, for his work in the Prince of Wales College team. He was Sri Lanka's under-19 captain in the Youth World Cup the following year.
 Mendis began his first-class career for Bloomfield Cricket Club in the Premier League Tournament of 2015. He had a middling first season, hitting 459 runs at an average of 30.60, but continued to be followed closely as Sri Lanka moved to flood their Test team with youth. It was Mendis' excellent returns in the Moin-ud-Dowlah three-day tournament in Hyderabad that paved his route to the national team. He was named in the squad to play West Indies in October 2015, and made his debut in the second match of that series.Andrew Fidel Fernando"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1222669.html"",""Kusal Mendis"")"	Sri Lanka
Shaun Marsh	Shaun Edward Marsh	July 9, 1983, Narrogin, Western Australia 	37 years 234 days	Australia, Glamorgan, Kings XI Punjab, Melbourne Renegades, Perth Scorchers, Western Australia	Top-order batsman	Left-hand bat	Slow left-arm orthodox	151	West Indies v Australia at Kingstown, Jun 24, 2008	"As a child Shaun Marsh spent a lot of time in the Australian set-up travelling with his father Geoff, the former opening batsman. The international grounding and a backyard net helped develop Marsh into one of the finest, if not enigmatic, talents in Australian cricket. The elegant left-hander made his first-class debut for Western Australia as a 17-year-old and scored a century as a 19-year-old against New South Wales in 2003 in a game where then Test veterans Steve and Mark Waugh were playing. He eventually progressed to international ranks making a successful start to his ODI career in 2008 and scoring a superb century on Test debut in Sri Lanka in 2011.  
 Marsh looked set for a lengthy tenure as Australia's No.3 but a back injury suffered during Australia's disastrous Cape Town Test later that year proved a serious setback. Marsh rejoined the side for the home Tests against India but was a shadow of himself, and 17 runs from six innings was a calamitous return. He went into a tailspin that saw him dropped from WA's Sheffield Shield side before Justin Langer's arrival as WA coach resurrected his career. He was recalled for the 2014 Test tour of South Africa and scored 148 at Centurion, but was dropped again after making a pair in the next Test.  Another recall came at home against India when Michael Clarke was injured, and 99 at the MCG suggested he still had something to offer. 
 But in his only Test on the 2015 Ashes tour he scored 0 and 2, and it seemed that might have been his last chance. Until he was given another, included to replace the injured Usman Khawaja for the inaugural day-night Test against New Zealand in 2015-16. Permanency has never arrived, however, through a mixture of form and injury. It felt as though the 2017-18 Ashes promised something better with two hundreds in the series, including one against the pink ball in Adelaide, but there was a subsequent slump in form that again that saw him dropped from the Test side after the 2018-19 home series loss to India. 
 Marsh remains one of the great enigmas of Australian cricket. Despite his incredible peaks and troughs in form Australian selection panels continually view him as a viable top-order prospect in Tests and ODIs especially. While his poor Test run in 2018-19 led to his eventual omission from the team, his ODI form was impressive, making four ODI centuries in 12 months to get himself into the 2019 World Cup squad. He was also handed a CA contract for 2019-20 aged 35 and only playing in the ODI team. 
 He has been an outstanding T20 franchise player despite not playing much T20 international cricket and was the leading run-scorer and named Player of the IPL in 2008 for Kings XI Punjab. He was the leading run-scorer in BBL 02, helping Perth Scorchers to the final, and made 63 and 73 in the finals of both BBL 03 and BBL 04 to help the Scorchers to back-to-back titles. In 2019 he left the Scorchers and signed a three-year deal with the Melbourne Renegades. 
 ESPNcricinfo staff"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1186413.html"",""Shaun Marsh"")"	Australia
Dimuth Karunaratne	Frank Dimuth Madushanka Karunaratne	April 21, 1988, Colombo 	32 years 313 days	Sri Lanka, Basnahira Cricket Dundee, Dambulla, Sinhalese Sports Club, Sri Lanka A, Sri Lanka Board XI, Sri Lanka Under-19s, Sri Lanka Under-20s School	Opening batsman	Left-hand bat	Right-arm medium	97	England v Sri Lanka at Manchester, Jul 9, 2011	"Dimuth Karunaratne is a solid left-hand opening batsman, and another alumnus of the St Joseph's College side that produced Angelo Mathews and Thisara Perera, whom he also played with in the Sri Lanka Under-19 side. Karunaratne made his first class debut for Sinhalese Sports Club (SSC) in 2008, but had a quiet first season, batting largely in the middle order.  
 He secured a place in the top order in 2009, and began to score more consistently thereafter. His maiden first-class century, against Colts Cricket Club, heralded a deluge of 1186 runs in the season, at an average of 56.54. His prolific form earnt him a call-up for the Sri Lanka A team against visiting South Africa A, where he again impressed, making 184 against an attack that included Vernon Philander. 
 Karunaratne has not reproduced the same volume of runs since his second season, but has developed a reputation for making big centuries against good attacks. He played two ODIs for Sri Lanka in 2011, making 4 and 60, and was also included in the Test tour to South Africa later in the year, though he did not get a game. 
 He toured South Africa again in July 2012 though, with the A team, and impressed with scores of 83 and 150 not out on that tour. Soon after that, he found himself on the verge of a Test debut when he was chosen to open alongside SSC partner Tharanga Paranavitana, replacing the injured Tillakaratne Dilshan for the Test against New Zealand in Galle.Andrew Fernando"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1224645.html"",""Dimuth Karunaratne"")"	Sri Lanka
Mustafizur Rahman	Mustafizur Rahman	September 6, 1995, Satkhira 	25 years 175 days	Bangladesh, Abahani Limited, Bangladesh Under-19s, Gazi Group Chattogram, Khulna Division, Lahore Qalandars, Mumbai Indians, Rajasthan Royals, Rangpur Rangers, South Zone (Bangladesh), Sunrisers Hyderabad, Sussex	Bowler	Left-hand bat	Left-arm fast-medium	18*	Bangladesh v India at Dhaka, Jun 18, 2015	"Mustafizur Rahman is a left-arm pace bowler who came to Dhaka to try out for a fast-bowling camp in 2012, after he had impressed in an Under-17 tournament in Satkhira, some 300km from Dhaka. He got admitted to the BCB's pace foundation and soon caught the coaches' attention to make the Bangladesh Under-19 side for the 2014 World Cup.  
 He made his first-class debut for Khulna in the 2013-14 season and, after taking eight wickets in the U-19 World Cup in the UAE, he was surprisingly picked for Bangladesh A's tour of West Indies. Returning from that short trip, he was viewed as a better bowler and slowly picked up more variations. He initially lacked pace but built it up through the 2014-15 first-class season, when he took 26 wickets at an average of 19.08. 
 This was when Mustafizur started to develop the left-armer's offcutter, which was delivered as a spinner does but with the added ability of making it carry to the wicketkeeper standing back. The story of Anamul Haque's dare that got him to bowl the delivery will go into Bangladeshi cricket folklore, as will the early support he received from Mashrafe Mortaza, who spotted him randomly in the Mirpur nets.
 Soon enough, the Bangladesh selectors picked Mustafizur for the one-off T20I against Pakistan and then, midway through 2015, for the ODI series against India when he became only the second bowler after Brian Vitori to take five-wicket hauls in his first two ODIs, paving the way for Bangladesh's first-ever ODI series win over India.
 He was excellent in bilateral series against South Africa - which included a Test debut - and Zimbabwe, while also doing well in his first BPL campaign. Mustafizur's first foray on to the world stage was through the IPL auction, when he was picked Sunrisers Hyderabad in early 2016, followed by confirmation of a contract with Sussex for English domestic limited-overs cricket. He ensured none of his new paymasters doubted their call as he emerged as one of the best bowlers in the World T20, signing off with a five-wicket haul against New Zealand, bamboozling them with his variation of cutters. Mohammad Isam"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1099647.html"",""Mustafizur Rahman"")"	Bangladesh
Beuran Hendricks	Beuran Eric Hendricks	June 8, 1990, Louis Leipoldt Hospital, Bellville, Cape Town 	30 years 265 days	South Africa, Cape Cobras, Impi, Kings XI Punjab, Mumbai Indians, South Africa A, St Lucia Zouks, Western Province, Western Province Under-19s	Bowler	Left-hand bat	Left-arm fast-medium	3	South Africa v England at Johannesburg, Feb 9, 2020	"Beuran Hendricks hails from Belville Cricket Club in the Cape and was nurtured through the ranks in the province. He first represented them at the end of the 2010-11 season, when he was just 21. His ability to bowl at pace - in the 140s kph - and swing the ball was what caught the eye.  
 Hendricks developed into a prospect for the future in the 2012-13 season when he was a regular member of the Cobras set-up. Bowling alongside the likes of Johann Louw and Charl Langeveldt, he learnt from experience and was the fifth highest-wicket-taker of the first-class season with 35 scalps at 17.74. 
 He was selected as part of South Africa A's 2013 winter programme and prospered on flat pitches. Fiver-fors against Australia A and India A earned him the praise of High Performance director Vincent Barnes and set him up to lead the Cobras attack in the coming summer.Firdose Moonda"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1080505.html"",""Beuran Hendricks"")"	South Africa
